run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
0.0 930759 l1 PP0 3.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 6.0 80001962.0
0.0 930759 l1 PP0 4.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80004009.0
0.0 930759 l1 PP0 4.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 7.0 80004010.0
0.0 930759 l1 PP0 5.0 0.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80000774.0
0.0 930759 l1 PP0 5.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 6.0 80000775.0
0.0 930759 l1 PP0 5.0 2.0 1.0 1.0 0.0 0.0 0.0 4.0 20.0 29.0 80003328.0
0.0 930759 l1 PP0 5.0 3.0 1.0 1.0 1.0 0.0 5.0 21.0 30.0 22.0 80003329.0
0.0 930759 l1 PP0 5.0 4.0 1.0 1.0 0.0 0.0 16.0 25.0 17.0 4.0 80003330.0
0.0 930759 l1 PP0 5.0 5.0 1.0 1.0 1.0 0.0 2.0 6.0 6.0 5.0 80006524.0
0.0 930759 l1 PP0 6.0 0.0 1.0 1.0 1.0 0.0 1.0 3.0 6.0 5.0 80002462.0
0.0 930759 l1 PP0 6.0 1.0 1.0 1.0 1.0 0.0 1.0 5.0 6.0 4.0 80004462.0
0.0 930759 l1 PP0 6.0 2.0 1.0 1.0 1.0 0.0 0.0 6.0 9.0 6.0 80007770.0
0.0 930759 l1 PP0 6.0 3.0 1.0 1.0 0.0 0.0 6.0 9.0 6.0 2.0 80007771.0
0.0 930759 l1 PP0 7.0 0.0 1.0 1.0 1.0 0.0 0.0 1.0 6.0 5.0 80001572.0
0.0 930759 l1 PP0 7.0 1.0 1.0 1.0 0.0 0.0 2.0 7.0 6.0 3.0 80001573.0
0.0 930759 l1 PP0 7.0 2.0 1.0 1.0 0.0 0.0 0.0 3.0 15.0 20.0 80002510.0
0.0 930759 l1 PP0 7.0 3.0 1.0 1.0 1.0 0.0 3.0 15.0 20.0 14.0 80002511.0
0.0 930759 l1 PP0 7.0 4.0 1.0 1.0 0.0 0.0 12.0 17.0 11.0 2.0 80002512.0
0.0 930759 l1 PP0 7.0 5.0 1.0 1.0 0.0 0.0 1.0 1.0 7.0 11.0 80003542.0
0.0 930759 l1 PP0 7.0 6.0 1.0 1.0 1.0 0.0 0.0 6.0 10.0 8.0 80003543.0
0.0 930759 l1 PP0 7.0 7.0 1.0 1.0 0.0 0.0 6.0 10.0 8.0 3.0 80003544.0
0.0 930759 l1 PP0 7.0 8.0 1.0 1.0 1.0 0.0 0.0 5.0 10.0 9.0 80003741.0
0.0 930759 l1 PP0 7.0 9.0 1.0 1.0 0.0 0.0 5.0 10.0 9.0 4.0 80003742.0
0.0 930759 l1 PP0 7.0 10.0 1.0 1.0 0.0 0.0 1.0 3.0 9.0 12.0 80006625.0
0.0 930759 l1 PP0 7.0 11.0 1.0 1.0 1.0 0.0 2.0 8.0 11.0 8.0 80006626.0
0.0 930759 l1 PP0 7.0 12.0 1.0 1.0 0.0 0.0 6.0 9.0 6.0 1.0 80006627.0
0.0 930759 l1 PP2 0.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 7.0 80000905.0
0.0 930759 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 2.0 7.0 8.0 3.0 80000906.0
0.0 930759 l1 PP2 0.0 2.0 1.0 1.0 0.0 0.0 0.0 4.0 15.0 26.0 80000916.0
0.0 930759 l1 PP2 0.0 3.0 1.0 1.0 1.0 0.0 4.0 15.0 26.0 21.0 80000917.0
