run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
0.0 930759 l1 PP0 2.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 4.0 80004193.0
0.0 930759 l1 PP0 6.0 0.0 1.0 1.0 0.0 0.0 0.0 0.0 13.0 34.0 80003810.0
0.0 930759 l1 PP0 6.0 1.0 1.0 1.0 1.0 0.0 0.0 15.0 36.0 35.0 80003811.0
0.0 930759 l1 PP0 6.0 2.0 1.0 1.0 0.0 0.0 15.0 36.0 35.0 20.0 80003812.0
0.0 930759 l1 PP0 7.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 12.0 80006607.0
0.0 930759 l1 PP0 7.0 1.0 1.0 1.0 1.0 0.0 1.0 7.0 12.0 10.0 80006608.0
0.0 930759 l1 PP0 7.0 2.0 1.0 1.0 0.0 0.0 6.0 11.0 9.0 5.0 80006609.0
0.0 930759 l1 PP2 0.0 0.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 6.0 80001383.0
0.0 930759 l1 PP2 0.0 1.0 1.0 1.0 0.0 0.0 1.0 2.0 9.0 18.0 80001804.0
0.0 930759 l1 PP2 0.0 2.0 1.0 1.0 1.0 0.0 1.0 8.0 17.0 16.0 80001805.0
0.0 930759 l1 PP2 0.0 3.0 1.0 1.0 0.0 0.0 7.0 16.0 15.0 7.0 80001806.0
0.0 930759 l1 PP2 0.0 4.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 12.0 80002810.0
0.0 930759 l1 PP2 0.0 5.0 1.0 1.0 1.0 0.0 0.0 7.0 12.0 8.0 80002811.0
0.0 930759 l1 PP2 0.0 6.0 1.0 1.0 0.0 0.0 7.0 12.0 8.0 3.0 80002812.0
0.0 930759 l1 PP2 0.0 7.0 1.0 1.0 0.0 0.0 0.0 0.0 34.0 143.0 80003327.0
0.0 930759 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 0.0 34.0 143.0 192.0 80003328.0
0.0 930759 l1 PP2 0.0 9.0 1.0 1.0 1.0 0.0 35.0 144.0 193.0 137.0 80003329.0
0.0 930759 l1 PP2 0.0 10.0 1.0 1.0 0.0 0.0 109.0 158.0 102.0 25.0 80003330.0
0.0 930759 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 0.0 0.0 13.0 24.0 80004292.0
0.0 930759 l1 PP2 0.0 12.0 1.0 1.0 1.0 0.0 2.0 15.0 26.0 22.0 80004293.0
0.0 930759 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 13.0 24.0 20.0 9.0 80004294.0
0.0 930759 l1 PP2 0.0 14.0 1.0 1.0 0.0 0.0 0.0 1.0 23.0 55.0 80005842.0
0.0 930759 l1 PP2 0.0 15.0 1.0 1.0 0.0 0.0 2.0 24.0 56.0 57.0 80005843.0
0.0 930759 l1 PP2 0.0 16.0 1.0 1.0 1.0 0.0 22.0 54.0 55.0 32.0 80005844.0
0.0 930759 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 32.0 33.0 10.0 0.0 80005845.0
0.0 930759 l1 PP2 0.0 18.0 1.0 1.0 0.0 0.0 0.0 0.0 29.0 265.0 80006786.0
0.0 930759 l1 PP2 0.0 19.0 1.0 1.0 0.0 0.0 0.0 29.0 265.0 488.0 80006787.0
0.0 930759 l1 PP2 0.0 20.0 1.0 1.0 1.0 0.0 29.0 265.0 488.0 416.0 80006788.0
0.0 930759 l1 PP2 0.0 21.0 1.0 1.0 0.0 0.0 236.0 459.0 387.0 181.0 80006789.0
0.0 930759 l1 PP2 0.0 22.0 1.0 1.0 0.0 0.0 1.0 4.0 6.0 7.0 80006913.0
0.0 930759 l1 PP2 0.0 23.0 1.0 1.0 1.0 0.0 3.0 5.0 6.0 6.0 80006914.0
0.0 930759 l1 PP2 0.0 24.0 1.0 1.0 1.0 0.0 0.0 2.0 6.0 6.0 80007034.0
0.0 930759 l1 PP2 0.0 25.0 1.0 1.0 1.0 0.0 3.0 7.0 7.0 4.0 80007035.0
0.0 930759 l1 PP2 0.0 26.0 1.0 1.0 1.0 0.0 3.0 6.0 6.0 3.0 80007253.0
0.0 930759 l1 PP2 1.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 7.0 8.0 80001612.0
0.0 930759 l1 PP2 1.0 1.0 1.0 1.0 1.0 0.0 3.0 7.0 8.0 5.0 80001613.0
