run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
0.0 930759 l1 PP2 0.0 0.0 1.0 1.0 1.0 0.0 3.0 11.0 17.0 15.0 80000083.0
0.0 930759 l1 PP2 0.0 1.0 1.0 1.0 0.0 0.0 1.0 4.0 17.0 31.0 80000138.0
0.0 930759 l1 PP2 0.0 2.0 1.0 1.0 0.0 0.0 3.0 16.0 30.0 31.0 80000139.0
0.0 930759 l1 PP2 0.0 3.0 1.0 1.0 1.0 0.0 13.0 27.0 28.0 18.0 80000140.0
0.0 930759 l1 PP2 0.0 4.0 1.0 1.0 0.0 0.0 2.0 8.0 18.0 21.0 80000162.0
0.0 930759 l1 PP2 0.0 5.0 1.0 1.0 1.0 0.0 6.0 16.0 19.0 14.0 80000163.0
0.0 930759 l1 PP2 0.0 6.0 1.0 1.0 0.0 0.0 0.0 3.0 16.0 27.0 80000187.0
0.0 930759 l1 PP2 0.0 7.0 1.0 1.0 1.0 0.0 4.0 17.0 28.0 26.0 80000188.0
0.0 930759 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 13.0 24.0 22.0 13.0 80000189.0
0.0 930759 l1 PP2 0.0 9.0 1.0 1.0 0.0 0.0 1.0 7.0 15.0 17.0 80000227.0
0.0 930759 l1 PP2 0.0 10.0 1.0 1.0 1.0 0.0 6.0 14.0 16.0 12.0 80000228.0
0.0 930759 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 0.0 3.0 13.0 22.0 80000310.0
0.0 930759 l1 PP2 0.0 12.0 1.0 1.0 0.0 0.0 3.0 13.0 22.0 24.0 80000311.0
0.0 930759 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 10.0 19.0 21.0 22.0 80000312.0
0.0 930759 l1 PP2 0.0 14.0 1.0 1.0 1.0 0.0 1.0 8.0 17.0 17.0 80000333.0
0.0 930759 l1 PP2 0.0 15.0 1.0 1.0 1.0 0.0 7.0 16.0 16.0 9.0 80000334.0
0.0 930759 l1 PP2 0.0 16.0 1.0 1.0 0.0 0.0 3.0 8.0 13.0 14.0 80000348.0
0.0 930759 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 0.0 6.0 13.0 15.0 80000400.0
0.0 930759 l1 PP2 0.0 18.0 1.0 1.0 1.0 0.0 6.0 13.0 15.0 10.0 80000401.0
