run burst level channel fpga energy timestamp finetime
0.0 930759 l1 0.0 SL 6.0 80002204.0 0.0
0.0 930759 l1 0.0 SL 13.0 80002829.0 144.0
0.0 930759 l1 0.0 SL 10.0 80004632.0 170.0
0.0 930759 l1 0.0 SL 152.0 80005576.0 133.0
0.0 930759 l1 0.0 SL 8.0 80005862.0 0.0
0.0 930759 l1 0.0 SL 7.0 80005862.0 32.0
0.0 930759 l1 0.0 SL 8.0 80007036.0 64.0
0.0 930759 l1 0.0 SL 20.0 80007036.0 85.0
0.0 930759 l1 0.0 SL 8.0 80007036.0 51.0
0.0 930759 l1 0.0 SL 8.0 80007036.0 51.0
0.0 930759 l1 1.0 SL 9.0 80000040.0 32.0
0.0 930759 l1 1.0 SL 113.0 80000040.0 76.0
0.0 930759 l1 1.0 SL 9.0 80000048.0 96.0
0.0 930759 l1 1.0 SL 8.0 80000338.0 192.0
0.0 930759 l1 1.0 SL 7.0 80000924.0 32.0
0.0 930759 l1 1.0 SL 96.0 80002064.0 86.0
0.0 930759 l1 1.0 SL 53.0 80002064.0 94.0
0.0 930759 l1 1.0 SL 10.0 80002064.0 85.0
0.0 930759 l1 1.0 SL 39.0 80002315.0 52.0
0.0 930759 l1 1.0 SL 92.0 80002315.0 66.0
0.0 930759 l1 1.0 SL 6.0 80002436.0 85.0
0.0 930759 l1 1.0 SL 15.0 80002459.0 99.0
0.0 930759 l1 1.0 SL 7.0 80003210.0 128.0
0.0 930759 l1 1.0 SL 31.0 80003288.0 49.0
0.0 930759 l1 1.0 SL 57.0 80003288.0 58.0
0.0 930759 l1 1.0 SL 28.0 80003330.0 187.0
0.0 930759 l1 1.0 SL 8.0 80003330.0 153.0
0.0 930759 l1 1.0 SL 6.0 80003549.0 85.0
0.0 930759 l1 1.0 SL 11.0 80003549.0 192.0
0.0 930759 l1 1.0 SL 176.0 80004508.0 185.0
0.0 930759 l1 1.0 SL 9.0 80005459.0 230.0
0.0 930759 l1 1.0 SL 10.0 80005459.0 128.0
0.0 930759 l1 1.0 SL 9.0 80005459.0 230.0
0.0 930759 l1 1.0 SL 18.0 80005576.0 153.0
0.0 930759 l1 1.0 SL 7.0 80006316.0 96.0
0.0 930759 l1 1.0 SL 6.0 80006773.0 0.0
0.0 930759 l1 1.0 SL 9.0 80006772.0 230.0
0.0 930759 l1 1.0 SL 14.0 80006772.0 160.0
0.0 930759 l1 1.0 SL 6.0 80007148.0 102.0
0.0 930759 l1 1.0 SL 7.0 80007148.0 76.0
0.0 930759 l1 1.0 SL 6.0 80007510.0 170.0
