run burst level detector fpga energy timestamp finetime
0.0 930759 l3 lkr SL 10.0 80000011.0 130.0
0.0 930759 l3 lkr SL 8.0 80000011.0 181.0
0.0 930759 l3 lkr SL 8.0 80000013.0 130.0
0.0 930759 l3 lkr SL 16.0 80000039.0 169.0
0.0 930759 l3 lkr SL 7.0 80000049.0 73.0
0.0 930759 l3 lkr SL 9.0 80000049.0 41.0
0.0 930759 l3 lkr SL 8.0 80000049.0 105.0
0.0 930759 l3 lkr SL 6.0 80000048.0 233.0
0.0 930759 l3 lkr SL 9.0 80000049.0 9.0
0.0 930759 l3 lkr SL 9.0 80000048.0 201.0
0.0 930759 l3 lkr SL 9.0 80000049.0 9.0
0.0 930759 l3 lkr SL 6.0 80000049.0 147.0
0.0 930759 l3 lkr SL 113.0 80000049.0 53.0
0.0 930759 l3 lkr SL 7.0 80000049.0 19.0
0.0 930759 l3 lkr SL 13.0 80000049.0 57.0
0.0 930759 l3 lkr SL 6.0 80000049.0 105.0
0.0 930759 l3 lkr SL 9.0 80000057.0 73.0
0.0 930759 l3 lkr SL 7.0 80000049.0 53.0
0.0 930759 l3 lkr SL 10.0 80000060.0 62.0
0.0 930759 l3 lkr SL 10.0 80000049.0 105.0
0.0 930759 l3 lkr SL 12.0 80000060.0 62.0
0.0 930759 l3 lkr SL 10.0 80000049.0 147.0
0.0 930759 l3 lkr SL 8.0 80000060.0 169.0
0.0 930759 l3 lkr SL 8.0 80000048.0 169.0
0.0 930759 l3 lkr SL 6.0 80000060.0 41.0
0.0 930759 l3 lkr SL 46.0 80000049.0 62.0
0.0 930759 l3 lkr SL 44.0 80000049.0 69.0
0.0 930759 l3 lkr SL 8.0 80000048.0 233.0
0.0 930759 l3 lkr SL 76.0 80000049.0 72.0
0.0 930759 l3 lkr SL 11.0 80000072.0 254.0
0.0 930759 l3 lkr SL 32.0 80000049.0 97.0
0.0 930759 l3 lkr SL 6.0 80000072.0 147.0
0.0 930759 l3 lkr SL 7.0 80000057.0 9.0
0.0 930759 l3 lkr SL 6.0 80000049.0 105.0
0.0 930759 l3 lkr SL 7.0 80000048.0 201.0
0.0 930759 l3 lkr SL 7.0 80000057.0 73.0
0.0 930759 l3 lkr SL 7.0 80000049.0 53.0
0.0 930759 l3 lkr SL 11.0 80000049.0 89.0
0.0 930759 l3 lkr SL 14.0 80000049.0 119.0
0.0 930759 l3 lkr SL 6.0 80000057.0 62.0
0.0 930759 l3 lkr SL 17.0 80000049.0 41.0
0.0 930759 l3 lkr SL 6.0 80000048.0 233.0
0.0 930759 l3 lkr SL 7.0 80000049.0 19.0
0.0 930759 l3 lkr SL 6.0 80000065.0 62.0
0.0 930759 l3 lkr SL 9.0 80000049.0 156.0
0.0 930759 l3 lkr SL 30.0 80000060.0 25.0
0.0 930759 l3 lkr SL 8.0 80000049.0 62.0
0.0 930759 l3 lkr SL 20.0 80000060.0 41.0
0.0 930759 l3 lkr SL 10.0 80000049.0 73.0
0.0 930759 l3 lkr SL 45.0 80000097.0 192.0
0.0 930759 l3 lkr SL 17.0 80000060.0 66.0
0.0 930759 l3 lkr SL 9.0 80000097.0 201.0
0.0 930759 l3 lkr SL 11.0 80000097.0 207.0
0.0 930759 l3 lkr SL 6.0 80000057.0 233.0
0.0 930759 l3 lkr SL 6.0 80000097.0 233.0
0.0 930759 l3 lkr SL 6.0 80000060.0 41.0
0.0 930759 l3 lkr SL 9.0 80000098.0 2.0
0.0 930759 l3 lkr SL 7.0 80000057.0 201.0
0.0 930759 l3 lkr SL 16.0 80000097.0 233.0
0.0 930759 l3 lkr SL 18.0 80000072.0 176.0
0.0 930759 l3 lkr SL 6.0 80000097.0 233.0
0.0 930759 l3 lkr SL 57.0 80000057.0 89.0
0.0 930759 l3 lkr SL 9.0 80000102.0 83.0
0.0 930759 l3 lkr SL 12.0 80000060.0 86.0
0.0 930759 l3 lkr SL 17.0 80000097.0 185.0
0.0 930759 l3 lkr SL 20.0 80000060.0 62.0
0.0 930759 l3 lkr SL 6.0 80000097.0 233.0
0.0 930759 l3 lkr SL 7.0 80000072.0 190.0
0.0 930759 l3 lkr SL 60.0 80000097.0 223.0
0.0 930759 l3 lkr SL 21.0 80000060.0 65.0
0.0 930759 l3 lkr SL 11.0 80000097.0 254.0
0.0 930759 l3 lkr SL 7.0 80000072.0 105.0
0.0 930759 l3 lkr SL 8.0 80000097.0 233.0
0.0 930759 l3 lkr SL 27.0 80000060.0 33.0
0.0 930759 l3 lkr SL 8.0 80000098.0 28.0
0.0 930759 l3 lkr SL 62.0 80000057.0 64.0
0.0 930759 l3 lkr SL 8.0 80000098.0 28.0
0.0 930759 l3 lkr SL 7.0 80000060.0 9.0
0.0 930759 l3 lkr SL 9.0 80000098.0 2.0
0.0 930759 l3 lkr SL 235.0 80000057.0 122.0
0.0 930759 l3 lkr SL 6.0 80000097.0 233.0
0.0 930759 l3 lkr SL 8.0 80000078.0 130.0
0.0 930759 l3 lkr SL 8.0 80000098.0 28.0
0.0 930759 l3 lkr SL 20.0 80000060.0 46.0
