run burst level detector fpga energy timestamp finetime
0 948399 l3 lkr SL 6 80000012 41
0 948399 l3 lkr SL 203 80000012 169
0 948399 l3 lkr SL 13 80000006 31
0 948399 l3 lkr SL 19 80000012 194
0 948399 l3 lkr SL 9 80000006 41
0 948399 l3 lkr SL 6 80000012 233
0 948399 l3 lkr SL 9 80000006 83
0 948399 l3 lkr SL 27 80000012 187
0 948399 l3 lkr SL 22 80000006 75
0 948399 l3 lkr SL 38 80000012 147
0 948399 l3 lkr SL 35 80000006 68
0 948399 l3 lkr SL 8 80000012 169
0 948399 l3 lkr SL 7 80000006 73
0 948399 l3 lkr SL 10 80000019 181
0 948399 l3 lkr SL 10 80000006 50
0 948399 l3 lkr SL 7 80000006 169
0 948399 l3 lkr SL 6 80000013 41
0 948399 l3 lkr SL 9 80000025 137
0 948399 l3 lkr SL 95 80000006 61
0 948399 l3 lkr SL 9 80000006 41
0 948399 l3 lkr SL 6 80000030 147
0 948399 l3 lkr SL 7 80000012 190
0 948399 l3 lkr SL 10 80000012 233
0 948399 l3 lkr SL 8 80000019 105
0 948399 l3 lkr SL 6 80000012 105
0 948399 l3 lkr SL 9 80000019 137
0 948399 l3 lkr SL 7 80000038 9
0 948399 l3 lkr SL 13 80000012 178
0 948399 l3 lkr SL 6 80000012 169
0 948399 l3 lkr SL 27 80000019 203
0 948399 l3 lkr SL 7 80000038 9
0 948399 l3 lkr SL 9 80000012 137
0 948399 l3 lkr SL 8 80000042 105
0 948399 l3 lkr SL 16 80000019 137
0 948399 l3 lkr SL 7 80000012 190
0 948399 l3 lkr SL 7 80000019 137
0 948399 l3 lkr SL 8 80000019 233
0 948399 l3 lkr SL 6 80000019 147
0 948399 l3 lkr SL 6 80000013 41
0 948399 l3 lkr SL 15 80000012 169
0 948399 l3 lkr SL 20 80000019 147
0 948399 l3 lkr SL 6 80000012 233
0 948399 l3 lkr SL 21 80000019 128
0 948399 l3 lkr SL 19 80000012 194
0 948399 l3 lkr SL 417 80000019 58
0 948399 l3 lkr SL 17 80000012 133
0 948399 l3 lkr SL 6 80000019 41
0 948399 l3 lkr SL 42 80000012 186
0 948399 l3 lkr SL 15 80000019 185
0 948399 l3 lkr SL 16 80000012 176
0 948399 l3 lkr SL 17 80000012 194
0 948399 l3 lkr SL 10 80000042 123
0 948399 l3 lkr SL 29 80000042 241
0 948399 l3 lkr SL 47 80000042 159
0 948399 l3 lkr SL 7 80000043 53
0 948399 l3 lkr SL 9 80000042 105
0 948399 l3 lkr SL 10 80000078 62
0 948399 l3 lkr SL 15 80000042 185
0 948399 l3 lkr SL 7 80000078 9
0 948399 l3 lkr SL 212 80000042 170
0 948399 l3 lkr SL 10 80000081 147
0 948399 l3 lkr SL 9 80000077 201
0 948399 l3 lkr SL 498 80000042 66
