run burst level channel fpga energy timestamp finetime
6088.0 956428 l1 1.0 SL 38.0 80000077.0 215.0
6088.0 956428 l1 1.0 SL 23.0 80000093.0 128.0
6088.0 956428 l1 1.0 SL 7.0 80000168.0 160.0
6088.0 956428 l1 1.0 SL 11.0 80000245.0 192.0
6088.0 956428 l1 1.0 SL 9.0 80000400.0 160.0
6088.0 956428 l1 1.0 SL 11.0 80000622.0 21.0
6088.0 956428 l1 1.0 SL 11.0 80000622.0 21.0
6088.0 956428 l1 1.0 SL 7.0 80000627.0 96.0
6088.0 956428 l1 1.0 SL 169.0 80000627.0 195.0
6088.0 956428 l1 1.0 SL 12.0 80000627.0 153.0
6088.0 956428 l1 1.0 SL 9.0 80000646.0 128.0
6088.0 956428 l1 1.0 SL 21.0 80000707.0 174.0
6088.0 956428 l1 1.0 SL 7.0 80001014.0 213.0
6088.0 956428 l1 1.0 SL 7.0 80001326.0 32.0
6088.0 956428 l1 1.0 SL 7.0 80001405.0 213.0
6088.0 956428 l1 1.0 SL 11.0 80001405.0 192.0
6088.0 956428 l1 1.0 SL 30.0 80001456.0 238.0
6088.0 956428 l1 1.0 SL 14.0 80001456.0 219.0
6088.0 956428 l1 1.0 SL 19.0 80001504.0 174.0
6088.0 956428 l1 1.0 SL 9.0 80001544.0 25.0
6088.0 956428 l1 1.0 SL 7.0 80001544.0 76.0
6088.0 956428 l1 1.0 SL 7.0 80002121.0 160.0
6088.0 956428 l1 1.0 SL 54.0 80002138.0 158.0
6088.0 956428 l1 1.0 SL 7.0 80002138.0 160.0
6088.0 956428 l1 1.0 SL 54.0 80002175.0 88.0
6088.0 956428 l1 1.0 SL 153.0 80002175.0 91.0
6088.0 956428 l1 1.0 SL 6.0 80002272.0 170.0
6088.0 956428 l1 1.0 SL 11.0 80002304.0 21.0
6088.0 956428 l1 1.0 SL 11.0 80002304.0 21.0
6088.0 956428 l1 1.0 SL 12.0 80002829.0 0.0
6088.0 956428 l1 1.0 SL 12.0 80002829.0 96.0
6088.0 956428 l1 1.0 SL 10.0 80002829.0 42.0
6088.0 956428 l1 1.0 SL 7.0 80002880.0 160.0
6088.0 956428 l1 1.0 SL 7.0 80003201.0 32.0
6088.0 956428 l1 1.0 SL 7.0 80003201.0 32.0
6088.0 956428 l1 1.0 SL 10.0 80003349.0 42.0
6088.0 956428 l1 1.0 SL 8.0 80003349.0 109.0
6088.0 956428 l1 1.0 SL 7.0 80003349.0 96.0
6088.0 956428 l1 1.0 SL 10.0 80003349.0 42.0
6088.0 956428 l1 1.0 SL 21.0 80003416.0 68.0
6088.0 956428 l1 1.0 SL 35.0 80003416.0 47.0
6088.0 956428 l1 1.0 SL 21.0 80003416.0 49.0
6088.0 956428 l1 1.0 SL 55.0 80003827.0 232.0
6088.0 956428 l1 1.0 SL 27.0 80003953.0 145.0
6088.0 956428 l1 1.0 SL 6.0 80004019.0 64.0
6088.0 956428 l1 1.0 SL 11.0 80004019.0 54.0
6088.0 956428 l1 1.0 SL 11.0 80004019.0 54.0
6088.0 956428 l1 1.0 SL 27.0 80004093.0 206.0
6088.0 956428 l1 1.0 SL 7.0 80004094.0 32.0
6088.0 956428 l1 1.0 SL 8.0 80004094.0 0.0
6088.0 956428 l1 1.0 SL 7.0 80004105.0 213.0
6088.0 956428 l1 1.0 SL 11.0 80004406.0 179.0
6088.0 956428 l1 1.0 SL 11.0 80004572.0 128.0
6088.0 956428 l1 1.0 SL 7.0 80004572.0 160.0
6088.0 956428 l1 1.0 SL 7.0 80004572.0 224.0
6088.0 956428 l1 1.0 SL 6.0 80004730.0 128.0
6088.0 956428 l1 1.0 SL 7.0 80004751.0 32.0
6088.0 956428 l1 1.0 SL 49.0 80005157.0 141.0
6088.0 956428 l1 1.0 SL 8.0 80005157.0 51.0
6088.0 956428 l1 1.0 SL 7.0 80005157.0 76.0
6088.0 956428 l1 1.0 SL 7.0 80005262.0 106.0
6088.0 956428 l1 1.0 SL 8.0 80005262.0 85.0
6088.0 956428 l1 1.0 SL 7.0 80005602.0 96.0
6088.0 956428 l1 1.0 SL 10.0 80005996.0 42.0
6088.0 956428 l1 1.0 SL 19.0 80005995.0 240.0
6088.0 956428 l1 1.0 SL 12.0 80006196.0 204.0
6088.0 956428 l1 1.0 SL 10.0 80006239.0 170.0
6088.0 956428 l1 1.0 SL 6.0 80006480.0 170.0
6088.0 956428 l1 1.0 SL 6.0 80006480.0 170.0
6088.0 956428 l1 1.0 SL 6.0 80006563.0 0.0
6088.0 956428 l1 1.0 SL 13.0 80006702.0 234.0
6088.0 956428 l1 1.0 SL 9.0 80006702.0 213.0
6088.0 956428 l1 1.0 SL 13.0 80006703.0 21.0
6088.0 956428 l1 1.0 SL 11.0 80006938.0 149.0
6088.0 956428 l1 1.0 SL 10.0 80007029.0 0.0
6088.0 956428 l1 1.0 SL 7.0 80007138.0 76.0
6088.0 956428 l1 1.0 SL 10.0 80007138.0 51.0
6088.0 956428 l1 1.0 SL 7.0 80007213.0 76.0
6088.0 956428 l1 1.0 SL 15.0 80007213.0 144.0
6088.0 956428 l1 1.0 SL 7.0 80007213.0 76.0
6088.0 956428 l1 1.0 SL 15.0 80007351.0 156.0
6088.0 956428 l1 1.0 SL 42.0 80007351.0 128.0
6088.0 956428 l1 1.0 SL 213.0 80007351.0 126.0
6088.0 956428 l1 1.0 SL 18.0 80007351.0 106.0
6088.0 956428 l1 1.0 SL 6.0 80007478.0 0.0
6088.0 956428 l1 1.0 SL 6.0 80007478.0 0.0
6088.0 956428 l1 1.0 SL 7.0 80007829.0 32.0
6088.0 956428 l1 1.0 SL 6.0 80007829.0 64.0
6088.0 956428 l1 1.0 SL 7.0 80007981.0 160.0
6088.0 956428 l1 1.0 SL 7.0 80007982.0 32.0
6088.0 956428 l1 1.0 SL 24.0 80007981.0 213.0
6088.0 956428 l1 2.0 SL 464.0 80000093.0 49.0
6088.0 956428 l1 2.0 SL 17.0 80000093.0 151.0
6088.0 956428 l1 2.0 SL 11.0 80000707.0 230.0
6088.0 956428 l1 2.0 SL 18.0 80000707.0 199.0
6088.0 956428 l1 2.0 SL 369.0 80000707.0 139.0
6088.0 956428 l1 2.0 SL 36.0 80000707.0 192.0
6088.0 956428 l1 2.0 SL 6.0 80000834.0 0.0
6088.0 956428 l1 2.0 SL 6.0 80000990.0 128.0
6088.0 956428 l1 2.0 SL 11.0 80000990.0 192.0
6088.0 956428 l1 2.0 SL 28.0 80000990.0 170.0
6088.0 956428 l1 2.0 SL 22.0 80000990.0 186.0
6088.0 956428 l1 2.0 SL 10.0 80000990.0 170.0
