run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
6235.0 41446 l1 PP2 0.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 9.0 80000274.0
6235.0 41446 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 2.0 8.0 10.0 7.0 80000275.0
6235.0 41446 l1 PP2 0.0 2.0 1.0 1.0 1.0 0.0 1.0 6.0 6.0 4.0 80000315.0
6235.0 41446 l1 PP2 0.0 3.0 1.0 1.0 1.0 0.0 2.0 4.0 6.0 5.0 80000328.0
6235.0 41446 l1 PP2 0.0 4.0 1.0 1.0 0.0 0.0 1.0 3.0 9.0 14.0 80000387.0
6235.0 41446 l1 PP2 0.0 5.0 1.0 1.0 1.0 0.0 2.0 8.0 13.0 10.0 80000388.0
6235.0 41446 l1 PP2 0.0 6.0 1.0 1.0 0.0 0.0 6.0 11.0 8.0 3.0 80000389.0
6235.0 41446 l1 PP2 0.0 7.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 5.0 80000647.0
6235.0 41446 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 0.0 0.0 49.0 168.0 80000731.0
6235.0 41446 l1 PP2 0.0 9.0 1.0 1.0 0.0 0.0 1.0 50.0 169.0 208.0 80000732.0
6235.0 41446 l1 PP2 0.0 10.0 1.0 1.0 1.0 0.0 49.0 168.0 207.0 137.0 80000733.0
6235.0 41446 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 119.0 158.0 88.0 11.0 80000734.0
6235.0 41446 l1 PP2 0.0 12.0 1.0 1.0 1.0 0.0 0.0 4.0 8.0 6.0 80001347.0
6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 4.0 8.0 6.0 2.0 80001348.0
6235.0 41446 l1 PP2 0.0 14.0 1.0 1.0 1.0 0.0 1.0 4.0 7.0 5.0 80001532.0
6235.0 41446 l1 PP2 0.0 15.0 1.0 1.0 1.0 0.0 1.0 5.0 9.0 7.0 80001702.0
6235.0 41446 l1 PP2 0.0 16.0 1.0 1.0 0.0 0.0 4.0 8.0 6.0 3.0 80001703.0
6235.0 41446 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 7.0 80002014.0
6235.0 41446 l1 PP2 0.0 18.0 1.0 1.0 1.0 0.0 2.0 7.0 8.0 6.0 80002015.0
6235.0 41446 l1 PP2 0.0 19.0 1.0 1.0 0.0 0.0 0.0 0.0 58.0 299.0 80002113.0
6235.0 41446 l1 PP2 0.0 20.0 1.0 1.0 0.0 0.0 0.0 58.0 299.0 454.0 80002114.0
6235.0 41446 l1 PP2 0.0 21.0 1.0 1.0 1.0 0.0 58.0 299.0 454.0 355.0 80002115.0
6235.0 41446 l1 PP2 0.0 22.0 1.0 1.0 0.0 0.0 241.0 396.0 297.0 113.0 80002116.0
6235.0 41446 l1 PP2 0.0 23.0 1.0 1.0 0.0 0.0 0.0 5.0 11.0 12.0 80002138.0
6235.0 41446 l1 PP2 0.0 24.0 1.0 1.0 1.0 0.0 6.0 12.0 13.0 9.0 80002139.0
6235.0 41446 l1 PP2 0.0 25.0 1.0 1.0 0.0 0.0 1.0 5.0 8.0 9.0 80002241.0
6235.0 41446 l1 PP2 0.0 26.0 1.0 1.0 1.0 0.0 4.0 7.0 8.0 7.0 80002242.0
6235.0 41446 l1 PP2 0.0 27.0 1.0 1.0 0.0 0.0 0.0 2.0 15.0 23.0 80002470.0
6235.0 41446 l1 PP2 0.0 28.0 1.0 1.0 1.0 0.0 2.0 15.0 23.0 17.0 80002471.0
6235.0 41446 l1 PP2 0.0 29.0 1.0 1.0 0.0 0.0 13.0 21.0 15.0 5.0 80002472.0
6235.0 41446 l1 PP2 0.0 30.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 13.0 80002577.0
6235.0 41446 l1 PP2 0.0 31.0 1.0 1.0 1.0 0.0 2.0 8.0 14.0 13.0 80002578.0
6235.0 41446 l1 PP2 0.0 32.0 1.0 1.0 0.0 0.0 6.0 12.0 11.0 5.0 80002579.0
6235.0 41446 l1 PP2 0.0 33.0 1.0 1.0 1.0 0.0 1.0 4.0 8.0 8.0 80002676.0
6235.0 41446 l1 PP2 0.0 34.0 1.0 1.0 1.0 0.0 3.0 7.0 7.0 3.0 80002677.0
6235.0 41446 l1 PP2 0.0 35.0 1.0 1.0 0.0 0.0 1.0 5.0 15.0 22.0 80002897.0
6235.0 41446 l1 PP2 0.0 36.0 1.0 1.0 1.0 0.0 4.0 14.0 21.0 17.0 80002898.0
6235.0 41446 l1 PP2 0.0 37.0 1.0 1.0 0.0 0.0 10.0 17.0 13.0 4.0 80002899.0
6235.0 41446 l1 PP2 0.0 38.0 1.0 1.0 0.0 0.0 0.0 1.0 13.0 41.0 80002912.0
6235.0 41446 l1 PP2 0.0 39.0 1.0 1.0 0.0 0.0 1.0 13.0 41.0 49.0 80002913.0
6235.0 41446 l1 PP2 0.0 40.0 1.0 1.0 1.0 0.0 12.0 40.0 48.0 31.0 80002914.0
6235.0 41446 l1 PP2 0.0 41.0 1.0 1.0 0.0 0.0 28.0 36.0 19.0 0.0 80002915.0
6235.0 41446 l1 PP2 0.0 42.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 15.0 80003042.0
6235.0 41446 l1 PP2 0.0 43.0 1.0 1.0 1.0 0.0 1.0 6.0 15.0 15.0 80003043.0
6235.0 41446 l1 PP2 0.0 44.0 1.0 1.0 1.0 0.0 5.0 14.0 14.0 8.0 80003044.0
6235.0 41446 l1 PP2 0.0 45.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 6.0 80003165.0
6235.0 41446 l1 PP2 0.0 46.0 1.0 1.0 1.0 0.0 0.0 4.0 9.0 9.0 80003422.0
6235.0 41446 l1 PP2 0.0 47.0 1.0 1.0 1.0 0.0 4.0 9.0 9.0 6.0 80003423.0
6235.0 41446 l1 PP2 0.0 48.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 9.0 80003497.0
6235.0 41446 l1 PP2 0.0 49.0 1.0 1.0 1.0 0.0 3.0 9.0 11.0 9.0 80003498.0
6235.0 41446 l1 PP2 0.0 50.0 1.0 1.0 0.0 0.0 6.0 8.0 6.0 3.0 80003499.0
6235.0 41446 l1 PP2 0.0 51.0 1.0 1.0 0.0 0.0 2.0 5.0 11.0 12.0 80003668.0
6235.0 41446 l1 PP2 0.0 52.0 1.0 1.0 1.0 0.0 3.0 9.0 10.0 6.0 80003669.0
6235.0 41446 l1 PP2 0.0 53.0 1.0 1.0 1.0 0.0 2.0 5.0 8.0 5.0 80003808.0
6235.0 41446 l1 PP2 0.0 54.0 1.0 1.0 1.0 0.0 0.0 3.0 7.0 5.0 80003983.0
6235.0 41446 l1 PP2 0.0 55.0 1.0 1.0 1.0 0.0 2.0 7.0 8.0 5.0 80003991.0
6235.0 41446 l1 PP2 0.0 56.0 1.0 1.0 1.0 0.0 1.0 6.0 12.0 10.0 80004001.0
6235.0 41446 l1 PP2 0.0 57.0 1.0 1.0 0.0 0.0 5.0 11.0 9.0 5.0 80004002.0
6235.0 41446 l1 PP2 0.0 58.0 1.0 1.0 0.0 0.0 1.0 3.0 8.0 10.0 80004090.0
6235.0 41446 l1 PP2 0.0 59.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 6.0 80004091.0
6235.0 41446 l1 PP2 0.0 60.0 1.0 1.0 1.0 0.0 1.0 5.0 8.0 7.0 80004142.0
6235.0 41446 l1 PP2 0.0 61.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 1.0 80004143.0
6235.0 41446 l1 PP2 0.0 62.0 1.0 1.0 0.0 0.0 0.0 3.0 24.0 36.0 80004180.0
6235.0 41446 l1 PP2 0.0 63.0 1.0 1.0 1.0 0.0 3.0 24.0 36.0 27.0 80004181.0
6235.0 41446 l1 PP2 0.0 64.0 1.0 1.0 0.0 0.0 21.0 33.0 24.0 9.0 80004182.0
6235.0 41446 l1 PP2 0.0 65.0 1.0 1.0 0.0 0.0 0.0 0.0 13.0 32.0 80004424.0
6235.0 41446 l1 PP2 0.0 66.0 1.0 1.0 1.0 0.0 0.0 13.0 32.0 30.0 80004425.0
6235.0 41446 l1 PP2 0.0 67.0 1.0 1.0 0.0 0.0 13.0 32.0 30.0 16.0 80004426.0
6235.0 41446 l1 PP2 0.0 68.0 1.0 1.0 1.0 0.0 3.0 6.0 6.0 4.0 80004706.0
6235.0 41446 l1 PP2 0.0 69.0 1.0 1.0 0.0 0.0 0.0 4.0 13.0 17.0 80005062.0
6235.0 41446 l1 PP2 0.0 70.0 1.0 1.0 1.0 0.0 5.0 14.0 18.0 13.0 80005063.0
6235.0 41446 l1 PP2 0.0 71.0 1.0 1.0 0.0 0.0 9.0 13.0 8.0 1.0 80005064.0
6235.0 41446 l1 PP2 0.0 72.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 5.0 80005354.0
6235.0 41446 l1 PP2 0.0 73.0 1.0 1.0 0.0 0.0 0.0 2.0 12.0 18.0 80005360.0
6235.0 41446 l1 PP2 0.0 74.0 1.0 1.0 0.0 0.0 4.0 14.0 20.0 26.0 80005361.0
6235.0 41446 l1 PP2 0.0 75.0 1.0 1.0 1.0 0.0 10.0 16.0 22.0 20.0 80005362.0
6235.0 41446 l1 PP2 0.0 76.0 1.0 1.0 0.0 0.0 6.0 12.0 10.0 0.0 80005363.0
6235.0 41446 l1 PP2 0.0 77.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 4.0 80005440.0
6235.0 41446 l1 PP2 0.0 78.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 4.0 80005501.0
6235.0 41446 l1 PP2 0.0 79.0 1.0 1.0 0.0 0.0 2.0 4.0 8.0 9.0 80005705.0
6235.0 41446 l1 PP2 0.0 80.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 4.0 80005706.0
6235.0 41446 l1 PP2 0.0 81.0 1.0 1.0 0.0 0.0 0.0 0.0 8.0 13.0 80005727.0
6235.0 41446 l1 PP2 0.0 82.0 1.0 1.0 1.0 0.0 2.0 10.0 15.0 11.0 80005728.0
6235.0 41446 l1 PP2 0.0 83.0 1.0 1.0 0.0 0.0 8.0 13.0 9.0 3.0 80005729.0
6235.0 41446 l1 PP2 0.0 84.0 1.0 1.0 1.0 0.0 2.0 5.0 6.0 4.0 80005818.0
6235.0 41446 l1 PP2 0.0 85.0 1.0 1.0 0.0 0.0 1.0 5.0 11.0 12.0 80006351.0
6235.0 41446 l1 PP2 0.0 86.0 1.0 1.0 1.0 0.0 4.0 10.0 11.0 7.0 80006352.0
6235.0 41446 l1 PP2 0.0 87.0 1.0 1.0 0.0 0.0 0.0 3.0 33.0 71.0 80006442.0
6235.0 41446 l1 PP2 0.0 88.0 1.0 1.0 1.0 0.0 3.0 33.0 71.0 67.0 80006443.0
6235.0 41446 l1 PP2 0.0 89.0 1.0 1.0 0.0 0.0 30.0 68.0 64.0 34.0 80006444.0
6235.0 41446 l1 PP2 0.0 90.0 1.0 1.0 0.0 0.0 3.0 3.0 14.0 89.0 80006597.0
6235.0 41446 l1 PP2 0.0 91.0 1.0 1.0 0.0 0.0 0.0 11.0 86.0 150.0 80006598.0
6235.0 41446 l1 PP2 0.0 92.0 1.0 1.0 1.0 0.0 11.0 86.0 150.0 124.0 80006599.0
6235.0 41446 l1 PP2 0.0 93.0 1.0 1.0 0.0 0.0 75.0 139.0 113.0 50.0 80006600.0
6235.0 41446 l1 PP2 0.0 94.0 1.0 1.0 0.0 0.0 2.0 3.0 10.0 19.0 80006734.0
6235.0 41446 l1 PP2 0.0 95.0 1.0 1.0 1.0 0.0 1.0 8.0 17.0 16.0 80006735.0
6235.0 41446 l1 PP2 0.0 96.0 1.0 1.0 0.0 0.0 7.0 16.0 15.0 8.0 80006736.0
6235.0 41446 l1 PP2 0.0 97.0 1.0 1.0 0.0 0.0 1.0 6.0 11.0 13.0 80006897.0
6235.0 41446 l1 PP2 0.0 98.0 1.0 1.0 1.0 0.0 5.0 10.0 12.0 8.0 80006898.0
6235.0 41446 l1 PP2 0.0 99.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 5.0 80007012.0
6235.0 41446 l1 PP2 0.0 100.0 1.0 1.0 0.0 0.0 1.0 2.0 7.0 12.0 80007032.0
6235.0 41446 l1 PP2 0.0 101.0 1.0 1.0 1.0 0.0 1.0 6.0 11.0 9.0 80007033.0
6235.0 41446 l1 PP2 0.0 102.0 1.0 1.0 0.0 0.0 5.0 10.0 8.0 3.0 80007034.0
6235.0 41446 l1 PP2 0.0 103.0 1.0 1.0 1.0 0.0 0.0 2.0 6.0 6.0 80007220.0
6235.0 41446 l1 PP2 0.0 104.0 1.0 1.0 1.0 0.0 3.0 7.0 7.0 5.0 80007221.0
6235.0 41446 l1 PP2 0.0 105.0 1.0 1.0 0.0 0.0 1.0 3.0 6.0 8.0 80007333.0
6235.0 41446 l1 PP2 0.0 106.0 1.0 1.0 1.0 0.0 2.0 5.0 7.0 5.0 80007334.0
6235.0 41446 l1 PP2 0.0 107.0 1.0 1.0 1.0 0.0 1.0 5.0 8.0 5.0 80007368.0
6235.0 41446 l1 PP2 0.0 108.0 1.0 1.0 0.0 0.0 0.0 2.0 7.0 9.0 80007560.0
6235.0 41446 l1 PP2 0.0 109.0 1.0 1.0 1.0 0.0 2.0 7.0 9.0 7.0 80007561.0
6235.0 41446 l1 PP2 0.0 110.0 1.0 1.0 1.0 0.0 0.0 5.0 8.0 6.0 80007666.0
6235.0 41446 l1 PP2 0.0 111.0 1.0 1.0 0.0 0.0 5.0 8.0 6.0 2.0 80007667.0
6235.0 41446 l1 PP2 0.0 112.0 1.0 1.0 1.0 0.0 0.0 3.0 8.0 8.0 80007809.0
6235.0 41446 l1 PP2 0.0 113.0 1.0 1.0 1.0 0.0 3.0 8.0 8.0 4.0 80007810.0
6235.0 41446 l1 PP2 0.0 114.0 1.0 1.0 0.0 0.0 0.0 4.0 35.0 76.0 80007830.0
6235.0 41446 l1 PP2 0.0 115.0 1.0 1.0 1.0 0.0 4.0 35.0 76.0 73.0 80007831.0
6235.0 41446 l1 PP2 0.0 116.0 1.0 1.0 0.0 0.0 31.0 72.0 69.0 36.0 80007832.0
6235.0 41446 l1 PP2 1.0 0.0 1.0 1.0 1.0 0.0 2.0 6.0 7.0 5.0 80000275.0
6235.0 41446 l1 PP2 1.0 1.0 1.0 1.0 1.0 0.0 1.0 4.0 6.0 4.0 80000328.0
6235.0 41446 l1 PP2 1.0 2.0 1.0 1.0 1.0 0.0 1.0 3.0 8.0 7.0 80000344.0
6235.0 41446 l1 PP2 1.0 3.0 1.0 1.0 0.0 0.0 2.0 7.0 6.0 2.0 80000345.0
6235.0 41446 l1 PP2 1.0 4.0 1.0 1.0 0.0 0.0 0.0 0.0 17.0 97.0 80000386.0
6235.0 41446 l1 PP2 1.0 5.0 1.0 1.0 0.0 0.0 0.0 17.0 97.0 146.0 80000387.0
6235.0 41446 l1 PP2 1.0 6.0 1.0 1.0 1.0 0.0 18.0 98.0 147.0 112.0 80000388.0
