run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
6235.0 41446 l1 PP2 0.0 0.0 1.0 1.0 1.0 0.0 0.0 4.0 10.0 10.0 80000063.0
6235.0 41446 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 5.0 11.0 11.0 6.0 80000064.0
6235.0 41446 l1 PP2 0.0 2.0 1.0 1.0 1.0 0.0 2.0 6.0 6.0 4.0 80000200.0
6235.0 41446 l1 PP2 0.0 3.0 1.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 80000269.0
6235.0 41446 l1 PP2 0.0 4.0 1.0 1.0 0.0 0.0 4.0 7.0 6.0 2.0 80000270.0
6235.0 41446 l1 PP2 0.0 5.0 1.0 1.0 0.0 0.0 0.0 3.0 27.0 52.0 80000275.0
6235.0 41446 l1 PP2 0.0 6.0 1.0 1.0 1.0 0.0 4.0 28.0 53.0 47.0 80000276.0
6235.0 41446 l1 PP2 0.0 7.0 1.0 1.0 0.0 0.0 24.0 49.0 43.0 21.0 80000277.0
6235.0 41446 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 0.0 1.0 9.0 15.0 80000420.0
6235.0 41446 l1 PP2 0.0 9.0 1.0 1.0 1.0 0.0 2.0 10.0 16.0 14.0 80000421.0
6235.0 41446 l1 PP2 0.0 10.0 1.0 1.0 0.0 0.0 8.0 14.0 12.0 6.0 80000422.0
6235.0 41446 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 0.0 4.0 16.0 18.0 80000633.0
6235.0 41446 l1 PP2 0.0 12.0 1.0 1.0 1.0 0.0 4.0 16.0 18.0 12.0 80000634.0
6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 12.0 14.0 8.0 1.0 80000635.0
6235.0 41446 l1 PP2 0.0 14.0 1.0 1.0 0.0 0.0 2.0 4.0 7.0 10.0 80000814.0
6235.0 41446 l1 PP2 0.0 15.0 1.0 1.0 1.0 0.0 2.0 5.0 8.0 6.0 80000815.0
6235.0 41446 l1 PP2 0.0 16.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 19.0 80000933.0
6235.0 41446 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 0.0 7.0 19.0 24.0 80000934.0
6235.0 41446 l1 PP2 0.0 18.0 1.0 1.0 1.0 0.0 7.0 19.0 24.0 17.0 80000935.0
6235.0 41446 l1 PP2 0.0 19.0 1.0 1.0 0.0 0.0 12.0 17.0 10.0 1.0 80000936.0
6235.0 41446 l1 PP2 0.0 20.0 1.0 1.0 1.0 0.0 1.0 3.0 6.0 4.0 80000979.0
