run burst level fpga channel peak over_thr peak_space peak_time 1st_sample 2nd_sample 3rd_sample 4th_sample 5th_sample timestamp
6235.0 41446 l1 PP2 0.0 0.0 1.0 1.0 1.0 0.0 4.0 11.0 13.0 10.0 80000052.0
6235.0 41446 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 2.0 8.0 13.0 12.0 80000143.0
6235.0 41446 l1 PP2 0.0 2.0 1.0 1.0 1.0 0.0 2.0 9.0 14.0 12.0 80000272.0
6235.0 41446 l1 PP2 0.0 3.0 1.0 1.0 0.0 0.0 1.0 6.0 18.0 34.0 80000284.0
6235.0 41446 l1 PP2 0.0 4.0 1.0 1.0 0.0 0.0 5.0 17.0 33.0 36.0 80000285.0
6235.0 41446 l1 PP2 0.0 5.0 1.0 1.0 1.0 0.0 12.0 28.0 31.0 20.0 80000286.0
6235.0 41446 l1 PP2 0.0 6.0 1.0 1.0 0.0 0.0 0.0 1.0 22.0 119.0 80000351.0
6235.0 41446 l1 PP2 0.0 7.0 1.0 1.0 0.0 0.0 1.0 22.0 119.0 224.0 80000352.0
6235.0 41446 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 21.0 118.0 223.0 228.0 80000353.0
6235.0 41446 l1 PP2 0.0 9.0 1.0 1.0 1.0 0.0 97.0 202.0 207.0 129.0 80000354.0
6235.0 41446 l1 PP2 0.0 10.0 1.0 1.0 0.0 0.0 105.0 110.0 32.0 0.0 80000355.0
6235.0 41446 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 1.0 8.0 20.0 26.0 80000404.0
6235.0 41446 l1 PP2 0.0 12.0 1.0 1.0 1.0 0.0 7.0 19.0 25.0 20.0 80000405.0
6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 12.0 18.0 13.0 4.0 80000406.0
6235.0 41446 l1 PP2 0.0 14.0 1.0 1.0 0.0 0.0 2.0 9.0 14.0 15.0 80000454.0
6235.0 41446 l1 PP2 0.0 15.0 1.0 1.0 0.0 0.0 7.0 12.0 13.0 14.0 80000455.0
6235.0 41446 l1 PP2 0.0 16.0 1.0 1.0 0.0 0.0 0.0 8.0 49.0 97.0 80000608.0
6235.0 41446 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 8.0 49.0 97.0 104.0 80000609.0
6235.0 41446 l1 PP2 0.0 18.0 1.0 1.0 1.0 0.0 41.0 89.0 96.0 64.0 80000610.0
6235.0 41446 l1 PP2 0.0 19.0 1.0 1.0 0.0 0.0 48.0 55.0 23.0 0.0 80000611.0
6235.0 41446 l1 PP2 0.0 20.0 1.0 1.0 0.0 0.0 3.0 9.0 18.0 21.0 80000656.0
6235.0 41446 l1 PP2 0.0 21.0 1.0 1.0 1.0 0.0 6.0 15.0 18.0 13.0 80000657.0
6235.0 41446 l1 PP2 0.0 22.0 1.0 1.0 0.0 0.0 0.0 4.0 21.0 31.0 80000745.0
6235.0 41446 l1 PP2 0.0 23.0 1.0 1.0 1.0 0.0 6.0 23.0 33.0 26.0 80000746.0
6235.0 41446 l1 PP2 0.0 24.0 1.0 1.0 0.0 0.0 17.0 27.0 20.0 6.0 80000747.0
6235.0 41446 l1 PP2 0.0 25.0 1.0 1.0 0.0 0.0 1.0 2.0 15.0 33.0 80000760.0
6235.0 41446 l1 PP2 0.0 26.0 1.0 1.0 0.0 0.0 1.0 14.0 32.0 33.0 80000761.0
6235.0 41446 l1 PP2 0.0 27.0 1.0 1.0 1.0 0.0 13.0 31.0 32.0 19.0 80000762.0
6235.0 41446 l1 PP2 0.0 28.0 1.0 1.0 0.0 0.0 0.0 3.0 15.0 17.0 80000772.0
6235.0 41446 l1 PP2 0.0 29.0 1.0 1.0 1.0 0.0 7.0 19.0 21.0 12.0 80000773.0
6235.0 41446 l1 PP2 0.0 30.0 1.0 1.0 0.0 0.0 0.0 6.0 19.0 30.0 80000923.0
6235.0 41446 l1 PP2 0.0 31.0 1.0 1.0 0.0 0.0 6.0 19.0 30.0 32.0 80000924.0
6235.0 41446 l1 PP2 0.0 32.0 1.0 1.0 1.0 0.0 13.0 24.0 26.0 19.0 80000925.0
6235.0 41446 l1 PP2 0.0 33.0 1.0 1.0 0.0 0.0 2.0 10.0 24.0 33.0 80000943.0
6235.0 41446 l1 PP2 0.0 34.0 1.0 1.0 1.0 0.0 8.0 22.0 31.0 26.0 80000944.0
6235.0 41446 l1 PP2 0.0 35.0 1.0 1.0 0.0 0.0 14.0 23.0 18.0 6.0 80000945.0
6235.0 41446 l1 PP2 0.0 36.0 1.0 1.0 0.0 0.0 1.0 7.0 14.0 16.0 80000972.0
6235.0 41446 l1 PP2 0.0 37.0 1.0 1.0 1.0 0.0 6.0 13.0 15.0 11.0 80000973.0
6235.0 41446 l1 PP2 0.0 38.0 1.0 1.0 1.0 0.0 2.0 8.0 15.0 15.0 80001101.0
6235.0 41446 l1 PP2 0.0 39.0 1.0 1.0 1.0 0.0 6.0 13.0 13.0 9.0 80001102.0
6235.0 41446 l1 PP2 0.0 40.0 1.0 1.0 1.0 0.0 4.0 12.0 14.0 11.0 80001109.0
6235.0 41446 l1 PP2 0.0 41.0 1.0 1.0 1.0 0.0 3.0 12.0 21.0 19.0 80001202.0
6235.0 41446 l1 PP2 0.0 42.0 1.0 1.0 0.0 0.0 9.0 18.0 16.0 9.0 80001203.0
6235.0 41446 l1 PP2 0.0 43.0 1.0 1.0 1.0 0.0 4.0 11.0 14.0 10.0 80001286.0
6235.0 41446 l1 PP2 0.0 44.0 1.0 1.0 0.0 0.0 4.0 12.0 17.0 27.0 80001364.0
