run burst level channel fpga energy timestamp finetime
6235.0 41446 l1 0.0 SL 7.0 80000091.0 76.0
6235.0 41446 l1 0.0 SL 39.0 80000091.0 61.0
6235.0 41446 l1 0.0 SL 7.0 80000091.0 76.0
6235.0 41446 l1 0.0 SL 6.0 80001797.0 64.0
6235.0 41446 l1 0.0 SL 6.0 80001797.0 64.0
6235.0 41446 l1 0.0 SL 11.0 80002013.0 21.0
6235.0 41446 l1 0.0 SL 27.0 80002013.0 27.0
6235.0 41446 l1 0.0 SL 25.0 80002013.0 45.0
6235.0 41446 l1 0.0 SL 10.0 80002222.0 170.0
6235.0 41446 l1 0.0 SL 13.0 80002472.0 234.0
6235.0 41446 l1 0.0 SL 6.0 80005951.0 128.0
6235.0 41446 l1 0.0 SL 10.0 80005951.0 85.0
6235.0 41446 l1 0.0 SL 41.0 80005951.0 94.0
6235.0 41446 l1 0.0 SL 6.0 80006303.0 128.0
6235.0 41446 l1 0.0 SL 13.0 80006303.0 149.0
6235.0 41446 l1 1.0 SL 106.0 80000091.0 83.0
6235.0 41446 l1 1.0 SL 11.0 80000391.0 234.0
6235.0 41446 l1 1.0 SL 13.0 80000649.0 149.0
6235.0 41446 l1 1.0 SL 71.0 80000649.0 192.0
6235.0 41446 l1 1.0 SL 6.0 80000912.0 128.0
6235.0 41446 l1 1.0 SL 14.0 80001041.0 85.0
6235.0 41446 l1 1.0 SL 9.0 80001192.0 25.0
6235.0 41446 l1 1.0 SL 9.0 80001192.0 25.0
6235.0 41446 l1 1.0 SL 89.0 80001348.0 213.0
6235.0 41446 l1 1.0 SL 9.0 80001379.0 149.0
6235.0 41446 l1 1.0 SL 10.0 80001650.0 204.0
6235.0 41446 l1 1.0 SL 6.0 80001666.0 0.0
6235.0 41446 l1 1.0 SL 27.0 80001665.0 230.0
6235.0 41446 l1 1.0 SL 7.0 80001666.0 32.0
6235.0 41446 l1 1.0 SL 8.0 80001732.0 170.0
6235.0 41446 l1 1.0 SL 7.0 80001732.0 224.0
6235.0 41446 l1 1.0 SL 68.0 80001886.0 225.0
6235.0 41446 l1 1.0 SL 9.0 80001887.0 25.0
6235.0 41446 l1 1.0 SL 17.0 80002222.0 184.0
6235.0 41446 l1 1.0 SL 7.0 80002601.0 96.0
6235.0 41446 l1 1.0 SL 40.0 80002678.0 58.0
6235.0 41446 l1 1.0 SL 11.0 80002677.0 213.0
6235.0 41446 l1 1.0 SL 8.0 80002678.0 51.0
6235.0 41446 l1 1.0 SL 6.0 80002689.0 170.0
6235.0 41446 l1 1.0 SL 7.0 80002689.0 160.0
6235.0 41446 l1 1.0 SL 11.0 80002790.0 230.0
6235.0 41446 l1 1.0 SL 10.0 80002791.0 0.0
6235.0 41446 l1 1.0 SL 6.0 80003261.0 128.0
6235.0 41446 l1 1.0 SL 12.0 80003380.0 0.0
6235.0 41446 l1 1.0 SL 50.0 80003379.0 196.0
6235.0 41446 l1 1.0 SL 7.0 80003688.0 32.0
6235.0 41446 l1 1.0 SL 18.0 80003688.0 0.0
6235.0 41446 l1 1.0 SL 7.0 80003688.0 32.0
6235.0 41446 l1 1.0 SL 16.0 80004161.0 102.0
6235.0 41446 l1 1.0 SL 66.0 80004445.0 98.0
6235.0 41446 l1 1.0 SL 27.0 80004638.0 120.0
6235.0 41446 l1 1.0 SL 53.0 80004717.0 250.0
6235.0 41446 l1 1.0 SL 20.0 80004718.0 0.0
6235.0 41446 l1 1.0 SL 6.0 80004718.0 64.0
6235.0 41446 l1 1.0 SL 6.0 80004902.0 0.0
6235.0 41446 l1 1.0 SL 12.0 80005020.0 128.0
6235.0 41446 l1 1.0 SL 9.0 80005064.0 128.0
6235.0 41446 l1 1.0 SL 9.0 80005452.0 192.0
6235.0 41446 l1 1.0 SL 7.0 80005733.0 224.0
6235.0 41446 l1 1.0 SL 99.0 80005733.0 231.0
6235.0 41446 l1 1.0 SL 9.0 80005884.0 149.0
6235.0 41446 l1 1.0 SL 13.0 80005932.0 201.0
6235.0 41446 l1 1.0 SL 106.0 80006089.0 180.0
6235.0 41446 l1 1.0 SL 461.0 80006089.0 84.0
6235.0 41446 l1 1.0 SL 9.0 80006217.0 32.0
6235.0 41446 l1 1.0 SL 361.0 80006279.0 52.0
6235.0 41446 l1 1.0 SL 10.0 80006279.0 170.0
6235.0 41446 l1 1.0 SL 44.0 80006279.0 97.0
6235.0 41446 l1 1.0 SL 10.0 80006919.0 0.0
6235.0 41446 l1 1.0 SL 7.0 80006919.0 76.0
6235.0 41446 l1 1.0 SL 8.0 80007281.0 192.0
6235.0 41446 l1 1.0 SL 11.0 80007784.0 54.0
6235.0 41446 l1 1.0 SL 65.0 80007784.0 58.0
6235.0 41446 l1 1.0 SL 10.0 80007784.0 85.0
6235.0 41446 l1 1.0 SL 7.0 80007787.0 213.0
6235.0 41446 l1 1.0 SL 64.0 80007784.0 55.0
6235.0 41446 l1 2.0 SL 11.0 80000322.0 234.0
6235.0 41446 l1 2.0 SL 20.0 80000759.0 204.0
6235.0 41446 l1 2.0 SL 11.0 80000759.0 230.0
6235.0 41446 l1 2.0 SL 20.0 80000759.0 230.0
6235.0 41446 l1 2.0 SL 16.0 80000921.0 192.0
6235.0 41446 l1 2.0 SL 8.0 80001035.0 128.0
6235.0 41446 l1 2.0 SL 80.0 80001060.0 147.0
6235.0 41446 l1 2.0 SL 9.0 80001060.0 128.0
6235.0 41446 l1 2.0 SL 9.0 80001192.0 64.0
6235.0 41446 l1 2.0 SL 46.0 80001192.0 66.0
6235.0 41446 l1 2.0 SL 8.0 80001192.0 85.0
6235.0 41446 l1 2.0 SL 440.0 80001348.0 134.0
6235.0 41446 l1 2.0 SL 31.0 80001348.0 213.0
6235.0 41446 l1 2.0 SL 7.0 80001348.0 213.0
6235.0 41446 l1 2.0 SL 23.0 80001358.0 226.0
6235.0 41446 l1 2.0 SL 10.0 80001359.0 142.0
6235.0 41446 l1 2.0 SL 228.0 80001379.0 124.0
6235.0 41446 l1 2.0 SL 8.0 80001379.0 128.0
6235.0 41446 l1 2.0 SL 31.0 80001470.0 188.0
6235.0 41446 l1 2.0 SL 57.0 80001470.0 192.0
6235.0 41446 l1 2.0 SL 6.0 80001571.0 0.0
6235.0 41446 l1 2.0 SL 9.0 80001575.0 25.0
6235.0 41446 l1 2.0 SL 78.0 80001575.0 6.0
6235.0 41446 l1 2.0 SL 10.0 80002016.0 213.0
6235.0 41446 l1 2.0 SL 22.0 80002335.0 137.0
6235.0 41446 l1 2.0 SL 6.0 80002592.0 128.0
6235.0 41446 l1 2.0 SL 6.0 80002802.0 0.0
6235.0 41446 l1 2.0 SL 10.0 80003058.0 0.0
6235.0 41446 l1 2.0 SL 13.0 80003066.0 234.0
6235.0 41446 l1 2.0 SL 14.0 80003670.0 85.0
6235.0 41446 l1 2.0 SL 90.0 80003670.0 111.0
6235.0 41446 l1 2.0 SL 7.0 80003687.0 213.0
6235.0 41446 l1 2.0 SL 13.0 80003853.0 54.0
6235.0 41446 l1 2.0 SL 12.0 80003853.0 36.0
6235.0 41446 l1 2.0 SL 10.0 80003966.0 153.0
6235.0 41446 l1 2.0 SL 449.0 80004441.0 94.0
6235.0 41446 l1 2.0 SL 10.0 80004442.0 42.0
6235.0 41446 l1 2.0 SL 84.0 80004441.0 182.0
6235.0 41446 l1 2.0 SL 10.0 80004442.0 42.0
6235.0 41446 l1 2.0 SL 6.0 80004568.0 128.0
6235.0 41446 l1 2.0 SL 200.0 80004638.0 112.0
6235.0 41446 l1 2.0 SL 8.0 80004638.0 128.0
6235.0 41446 l1 2.0 SL 7.0 80004887.0 160.0
6235.0 41446 l1 2.0 SL 7.0 80004978.0 96.0
6235.0 41446 l1 2.0 SL 6.0 80005145.0 0.0
6235.0 41446 l1 2.0 SL 144.0 80005571.0 10.0
6235.0 41446 l1 2.0 SL 37.0 80005570.0 234.0
6235.0 41446 l1 2.0 SL 6.0 80005724.0 170.0
6235.0 41446 l1 2.0 SL 10.0 80005733.0 204.0
6235.0 41446 l1 2.0 SL 7.0 80006089.0 179.0
6235.0 41446 l1 2.0 SL 12.0 80006192.0 0.0
6235.0 41446 l1 2.0 SL 11.0 80007017.0 91.0
6235.0 41446 l1 2.0 SL 6.0 80007226.0 0.0
6235.0 41446 l1 2.0 SL 6.0 80007226.0 0.0
6235.0 41446 l1 2.0 SL 13.0 80007657.0 234.0
6235.0 41446 l1 2.0 SL 25.0 80007657.0 243.0
6235.0 41446 l1 2.0 SL 12.0 80007658.0 0.0
6235.0 41446 l1 2.0 SL 7.0 80007754.0 96.0
6235.0 41446 l1 2.0 SL 6.0 80007754.0 64.0
6235.0 41446 l1 3.0 SL 18.0 80000530.0 128.0
6235.0 41446 l1 3.0 SL 7.0 80000760.0 32.0
6235.0 41446 l1 3.0 SL 18.0 80001574.0 227.0
6235.0 41446 l1 3.0 SL 6.0 80005447.0 0.0
6235.0 41446 l1 3.0 SL 13.0 80006182.0 237.0
6235.0 41446 l1 3.0 SL 6.0 80006182.0 170.0
6235.0 41463 l1 0.0 SL 7.0 80001199.0 160.0
6235.0 41463 l1 1.0 SL 12.0 80000494.0 128.0
6235.0 41463 l1 1.0 SL 15.0 80000494.0 128.0
6235.0 41463 l1 1.0 SL 18.0 80000597.0 116.0
6235.0 41463 l1 1.0 SL 11.0 80000597.0 128.0
6235.0 41463 l1 1.0 SL 278.0 80000597.0 81.0
6235.0 41463 l1 1.0 SL 7.0 80000673.0 128.0
