run burst level detector fpga energy timestamp finetime
6235.0 41446 l3 lkr SL 16.0 80000008.0 169.0
6235.0 41446 l3 lkr SL 59.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 45.0 80000009.0 41.0
6235.0 41446 l3 lkr SL 28.0 80000009.0 105.0
6235.0 41446 l3 lkr SL 46.0 80000018.0 233.0
6235.0 41446 l3 lkr SL 29.0 80000019.0 41.0
6235.0 41446 l3 lkr SL 8.0 80000020.0 233.0
6235.0 41446 l3 lkr SL 16.0 80000022.0 233.0
6235.0 41446 l3 lkr SL 98.0 80000027.0 233.0
6235.0 41446 l3 lkr SL 197.0 80000028.0 41.0
6235.0 41446 l3 lkr SL 8.0 80000028.0 105.0
6235.0 41446 l3 lkr SL 40.0 80000039.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000044.0 105.0
6235.0 41446 l3 lkr SL 63.0 80000044.0 169.0
6235.0 41446 l3 lkr SL 10.0 80000053.0 105.0
6235.0 41446 l3 lkr SL 16.0 80000059.0 233.0
6235.0 41446 l3 lkr SL 38.0 80000067.0 105.0
6235.0 41446 l3 lkr SL 272.0 80000067.0 169.0
6235.0 41446 l3 lkr SL 22.0 80000067.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000068.0 41.0
6235.0 41446 l3 lkr SL 685.0 80000073.0 41.0
6235.0 41446 l3 lkr SL 51.0 80000073.0 169.0
6235.0 41446 l3 lkr SL 190.0 80000073.0 233.0
6235.0 41446 l3 lkr SL 52.0 80000074.0 41.0
6235.0 41446 l3 lkr SL 15.0 80000074.0 105.0
6235.0 41446 l3 lkr SL 8.0 80000075.0 233.0
6235.0 41446 l3 lkr SL 17.0 80000082.0 233.0
6235.0 41446 l3 lkr SL 7.0 80000086.0 169.0
6235.0 41446 l3 lkr SL 8.0 80000094.0 105.0
6235.0 41446 l3 lkr SL 8.0 80000098.0 169.0
6235.0 41446 l3 lkr SL 278.0 80000099.0 233.0
6235.0 41446 l3 lkr SL 418.0 80000100.0 41.0
6235.0 41446 l3 lkr SL 6.0 80000100.0 105.0
6235.0 41446 l3 lkr SL 6.0 80000100.0 169.0
6235.0 41446 l3 lkr SL 18.0 80000101.0 105.0
6235.0 41446 l3 lkr SL 10.0 80000101.0 169.0
6235.0 41446 l3 lkr SL 30.0 80000101.0 233.0
6235.0 41446 l3 lkr SL 47.0 80000102.0 41.0
6235.0 41446 l3 lkr SL 6.0 80000104.0 105.0
6235.0 41446 l3 lkr SL 9.0 80000104.0 233.0
6235.0 41446 l3 lkr SL 16.0 80000109.0 41.0
6235.0 41446 l3 lkr SL 7.0 80000111.0 105.0
6235.0 41446 l3 lkr SL 14.0 80000121.0 105.0
6235.0 41446 l3 lkr SL 9.0 80000126.0 169.0
6235.0 41446 l3 lkr SL 7.0 80000128.0 233.0
6235.0 41446 l3 lkr SL 197.0 80000129.0 41.0
6235.0 41446 l3 lkr SL 97.0 80000129.0 105.0
6235.0 41446 l3 lkr SL 7.0 80000135.0 169.0
6235.0 41446 l3 lkr SL 10.0 80000143.0 105.0
6235.0 41446 l3 lkr SL 10.0 80000144.0 233.0
6235.0 41446 l3 lkr SL 8.0 80000151.0 105.0
6235.0 41446 l3 lkr SL 7.0 80000151.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000152.0 41.0
6235.0 41446 l3 lkr SL 11.0 80000153.0 41.0
6235.0 41446 l3 lkr SL 118.0 80000180.0 105.0
6235.0 41446 l3 lkr SL 6.0 80000180.0 169.0
6235.0 41446 l3 lkr SL 8.0 80000180.0 233.0
6235.0 41446 l3 lkr SL 8.0 80000182.0 169.0
6235.0 41446 l3 lkr SL 6.0 80000188.0 105.0
6235.0 41446 l3 lkr SL 379.0 80000188.0 169.0
6235.0 41446 l3 lkr SL 353.0 80000188.0 233.0
6235.0 41446 l3 lkr SL 84.0 80000189.0 41.0
6235.0 41446 l3 lkr SL 7.0 80000190.0 169.0
6235.0 41446 l3 lkr SL 501.0 80000190.0 233.0
6235.0 41446 l3 lkr SL 149.0 80000191.0 105.0
6235.0 41446 l3 lkr SL 175.0 80000191.0 169.0
6235.0 41446 l3 lkr SL 11.0 80000191.0 233.0
6235.0 41446 l3 lkr SL 12.0 80000193.0 105.0
6235.0 41446 l3 lkr SL 429.0 80000193.0 169.0
6235.0 41446 l3 lkr SL 354.0 80000193.0 233.0
6235.0 41446 l3 lkr SL 22.0 80000194.0 41.0
6235.0 41446 l3 lkr SL 6.0 80000196.0 105.0
6235.0 41446 l3 lkr SL 664.0 80000196.0 233.0
6235.0 41446 l3 lkr SL 8.0 80000197.0 41.0
6235.0 41446 l3 lkr SL 26.0 80000198.0 105.0
6235.0 41446 l3 lkr SL 6.0 80000198.0 169.0
6235.0 41446 l3 lkr SL 6.0 80000203.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000204.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000205.0 41.0
6235.0 41446 l3 lkr SL 10.0 80000208.0 105.0
6235.0 41446 l3 lkr SL 43.0 80000209.0 169.0
6235.0 41446 l3 lkr SL 660.0 80000209.0 233.0
6235.0 41446 l3 lkr SL 67.0 80000210.0 41.0
6235.0 41446 l3 lkr SL 7.0 80000210.0 169.0
6235.0 41446 l3 lkr SL 7.0 80000226.0 41.0
6235.0 41446 l3 lkr SL 9.0 80000273.0 105.0
6235.0 41446 l3 lkr SL 7.0 80000275.0 233.0
6235.0 41446 l3 lkr SL 8.0 80000278.0 169.0
6235.0 41446 l3 lkr SL 452.0 80000279.0 105.0
6235.0 41446 l3 lkr SL 51.0 80000279.0 169.0
6235.0 41446 l3 lkr SL 33.0 80000279.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000280.0 41.0
6235.0 41446 l3 lkr SL 9.0 80000280.0 105.0
6235.0 41446 l3 lkr SL 7.0 80000284.0 41.0
6235.0 41446 l3 lkr SL 29.0 80000284.0 105.0
6235.0 41446 l3 lkr SL 72.0 80000285.0 41.0
6235.0 41446 l3 lkr SL 165.0 80000285.0 105.0
6235.0 41446 l3 lkr SL 29.0 80000285.0 233.0
6235.0 41446 l3 lkr SL 41.0 80000286.0 41.0
6235.0 41446 l3 lkr SL 12.0 80000286.0 105.0
6235.0 41446 l3 lkr SL 313.0 80000286.0 169.0
6235.0 41446 l3 lkr SL 297.0 80000286.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000287.0 41.0
