run burst level detector fpga energy timestamp finetime
6235.0 41446 l3 lkr SL 10.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 11.0 80000018.0 254.0
6235.0 41446 l3 lkr SL 6.0 80000019.0 62.0
6235.0 41446 l3 lkr SL 8.0 80000021.0 28.0
6235.0 41446 l3 lkr SL 6.0 80000019.0 41.0
6235.0 41446 l3 lkr SL 6.0 80000019.0 41.0
6235.0 41446 l3 lkr SL 8.0 80000023.0 28.0
6235.0 41446 l3 lkr SL 7.0 80000028.0 9.0
6235.0 41446 l3 lkr SL 8.0 80000023.0 28.0
6235.0 41446 l3 lkr SL 8.0 80000028.0 41.0
6235.0 41446 l3 lkr SL 17.0 80000028.0 48.0
6235.0 41446 l3 lkr SL 8.0 80000028.0 41.0
6235.0 41446 l3 lkr SL 10.0 80000028.0 62.0
6235.0 41446 l3 lkr SL 7.0 80000028.0 53.0
6235.0 41446 l3 lkr SL 130.0 80000028.0 41.0
6235.0 41446 l3 lkr SL 11.0 80000028.0 83.0
6235.0 41446 l3 lkr SL 83.0 80000028.0 39.0
6235.0 41446 l3 lkr SL 6.0 80000028.0 41.0
6235.0 41446 l3 lkr SL 8.0 80000009.0 28.0
6235.0 41446 l3 lkr SL 8.0 80000028.0 105.0
6235.0 41446 l3 lkr SL 15.0 80000009.0 105.0
6235.0 41446 l3 lkr SL 21.0 80000040.0 11.0
6235.0 41446 l3 lkr SL 7.0 80000008.0 190.0
6235.0 41446 l3 lkr SL 8.0 80000028.0 28.0
6235.0 41446 l3 lkr SL 6.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 19.0 80000040.0 11.0
6235.0 41446 l3 lkr SL 12.0 80000009.0 50.0
6235.0 41446 l3 lkr SL 9.0 80000044.0 201.0
6235.0 41446 l3 lkr SL 6.0 80000009.0 62.0
6235.0 41446 l3 lkr SL 28.0 80000044.0 196.0
6235.0 41446 l3 lkr SL 13.0 80000009.0 105.0
6235.0 41446 l3 lkr SL 9.0 80000008.0 201.0
6235.0 41446 l3 lkr SL 6.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 6.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 9.0 80000009.0 2.0
6235.0 41446 l3 lkr SL 8.0 80000008.0 233.0
6235.0 41446 l3 lkr SL 27.0 80000009.0 49.0
6235.0 41446 l3 lkr SL 14.0 80000019.0 9.0
6235.0 41446 l3 lkr SL 10.0 80000019.0 19.0
6235.0 41446 l3 lkr SL 11.0 80000019.0 68.0
6235.0 41446 l3 lkr SL 11.0 80000019.0 31.0
6235.0 41446 l3 lkr SL 8.0 80000044.0 169.0
6235.0 41446 l3 lkr SL 18.0 80000044.0 204.0
6235.0 41446 l3 lkr SL 6.0 80000044.0 105.0
6235.0 41446 l3 lkr SL 6.0 80000073.0 233.0
6235.0 41446 l3 lkr SL 10.0 80000053.0 105.0
6235.0 41446 l3 lkr SL 6.0 80000074.0 147.0
6235.0 41446 l3 lkr SL 8.0 80000060.0 28.0
6235.0 41446 l3 lkr SL 9.0 80000074.0 105.0
6235.0 41446 l3 lkr SL 8.0 80000060.0 28.0
6235.0 41446 l3 lkr SL 8.0 80000074.0 62.0
6235.0 41446 l3 lkr SL 6.0 80000067.0 233.0
6235.0 41446 l3 lkr SL 16.0 80000073.0 196.0
6235.0 41446 l3 lkr SL 7.0 80000067.0 105.0
6235.0 41446 l3 lkr SL 9.0 80000074.0 41.0
6235.0 41446 l3 lkr SL 9.0 80000083.0 2.0
6235.0 41446 l3 lkr SL 6.0 80000068.0 41.0
6235.0 41446 l3 lkr SL 16.0 80000073.0 233.0
6235.0 41446 l3 lkr SL 7.0 80000067.0 201.0
6235.0 41446 l3 lkr SL 8.0 80000083.0 28.0
6235.0 41446 l3 lkr SL 8.0 80000067.0 233.0
6235.0 41446 l3 lkr SL 27.0 80000067.0 190.0
6235.0 41446 l3 lkr SL 8.0 80000067.0 233.0
6235.0 41446 l3 lkr SL 21.0 80000067.0 174.0
6235.0 41446 l3 lkr SL 24.0 80000067.0 154.0
6235.0 41446 l3 lkr SL 35.0 80000073.0 225.0
6235.0 41446 l3 lkr SL 177.0 80000067.0 175.0
6235.0 41446 l3 lkr SL 26.0 80000073.0 252.0
6235.0 41446 l3 lkr SL 24.0 80000073.0 254.0
6235.0 41446 l3 lkr SL 26.0 80000074.0 45.0
6235.0 41446 l3 lkr SL 6.0 80000100.0 41.0
6235.0 41446 l3 lkr SL 9.0 80000067.0 201.0
6235.0 41446 l3 lkr SL 10.0 80000100.0 62.0
6235.0 41446 l3 lkr SL 31.0 80000102.0 51.0
6235.0 41446 l3 lkr SL 8.0 80000075.0 233.0
6235.0 41446 l3 lkr SL 203.0 80000100.0 64.0
6235.0 41446 l3 lkr SL 15.0 80000100.0 48.0
6235.0 41446 l3 lkr SL 11.0 80000073.0 254.0
6235.0 41446 l3 lkr SL 9.0 80000100.0 73.0
6235.0 41446 l3 lkr SL 14.0 80000074.0 9.0
6235.0 41446 l3 lkr SL 7.0 80000100.0 53.0
6235.0 41446 l3 lkr SL 15.0 80000100.0 19.0
6235.0 41446 l3 lkr SL 31.0 80000067.0 180.0
6235.0 41446 l3 lkr SL 15.0 80000100.0 66.0
6235.0 41446 l3 lkr SL 685.0 80000073.0 99.0
6235.0 41446 l3 lkr SL 39.0 80000100.0 38.0
6235.0 41446 l3 lkr SL 7.0 80000067.0 137.0
6235.0 41446 l3 lkr SL 6.0 80000100.0 105.0
6235.0 41446 l3 lkr SL 9.0 80000074.0 83.0
6235.0 41446 l3 lkr SL 106.0 80000100.0 60.0
6235.0 41446 l3 lkr SL 10.0 80000074.0 19.0
6235.0 41446 l3 lkr SL 21.0 80000073.0 244.0
6235.0 41446 l3 lkr SL 204.0 80000100.0 36.0
6235.0 41446 l3 lkr SL 26.0 80000074.0 28.0
6235.0 41446 l3 lkr SL 11.0 80000073.0 254.0
6235.0 41446 l3 lkr SL 7.0 80000100.0 53.0
6235.0 41446 l3 lkr SL 14.0 80000121.0 123.0
6235.0 41446 l3 lkr SL 25.0 80000074.0 6.0
6235.0 41446 l3 lkr SL 7.0 80000086.0 190.0
6235.0 41446 l3 lkr SL 8.0 80000094.0 105.0
6235.0 41446 l3 lkr SL 8.0 80000098.0 169.0
6235.0 41446 l3 lkr SL 6.0 80000099.0 233.0
