 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
13 6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 1.0 0.0 16.0 56.0 70.0 47.0 80001378.0
20 6235.0 41446 l1 PP2 0.0 20.0 1.0 1.0 1.0 0.0 53.0 174.0 203.0 129.0 80002914.0
24 6235.0 41446 l1 PP2 0.0 24.0 1.0 1.0 1.0 0.0 30.0 130.0 178.0 131.0 80003838.0
86 6235.0 41446 l1 PP2 3.0 4.0 1.0 1.0 1.0 0.0 9.0 70.0 118.0 97.0 80004440.0
104 6235.0 41446 l1 PP2 4.0 9.0 1.0 1.0 1.0 0.0 4.0 55.0 123.0 118.0 80004976.0
2174 6235.0 41446 l1 PP1 0.0 2.0 1.0 1.0 1.0 0.0 62.0 178.0 199.0 123.0 80000090.0
2184 6235.0 41446 l1 PP1 1.0 3.0 1.0 1.0 1.0 0.0 48.0 176.0 223.0 152.0 80001040.0
2188 6235.0 41446 l1 PP1 1.0 7.0 1.0 1.0 1.0 0.0 42.0 123.0 136.0 83.0 80003515.0
2225 6235.0 41446 l1 PP1 4.0 8.0 1.0 1.0 1.0 0.0 25.0 78.0 90.0 57.0 80005063.0
2229 6235.0 41446 l1 PP1 4.0 12.0 1.0 1.0 1.0 0.0 16.0 57.0 69.0 45.0 80006278.0
2235 6235.0 41446 l1 PP1 5.0 4.0 1.0 1.0 1.0 0.0 16.0 82.0 119.0 88.0 80003378.0
2268 6235.0 41446 l1 PP1 7.0 15.0 1.0 1.0 1.0 0.0 84.0 211.0 214.0 123.0 80007361.0
2286 6235.0 41446 l1 PP0 7.0 2.0 1.0 1.0 1.0 0.0 75.0 191.0 196.0 112.0 80000090.0
2292 6235.0 41446 l1 PP0 7.0 8.0 1.0 1.0 1.0 0.0 15.0 78.0 113.0 84.0 80002260.0
2308 6235.0 41463 l1 PP2 1.0 1.0 1.0 1.0 1.0 0.0 8.0 89.0 192.0 186.0 80000686.0
2318 6235.0 41463 l1 PP2 1.0 11.0 1.0 1.0 1.0 0.0 3.0 33.0 65.0 62.0 80007127.0
4398 6235.0 41463 l1 PP1 2.0 5.0 1.0 1.0 1.0 0.0 7.0 44.0 75.0 62.0 80007221.0
4440 6235.0 41477 l1 PP2 0.0 4.0 1.0 1.0 1.0 0.0 24.0 123.0 172.0 123.0 80002357.0
4502 6235.0 41477 l1 PP2 6.0 7.0 1.0 1.0 1.0 0.0 42.0 159.0 207.0 145.0 80005590.0
6581 6235.0 41477 l1 PP1 4.0 4.0 1.0 1.0 1.0 0.0 4.0 45.0 94.0 86.0 80004989.0
6591 6235.0 41477 l1 PP1 5.0 8.0 1.0 1.0 1.0 0.0 2.0 32.0 70.0 66.0 80004989.0
6618 6235.0 41470 l1 PP2 0.0 2.0 1.0 1.0 1.0 0.0 58.0 145.0 148.0 85.0 80002267.0
6631 6235.0 41470 l1 PP2 2.0 2.0 1.0 1.0 1.0 0.0 46.0 157.0 196.0 133.0 80000115.0
6642 6235.0 41470 l1 PP2 3.0 6.0 1.0 1.0 1.0 0.0 11.0 124.0 251.0 231.0 80001698.0
6655 6235.0 41470 l1 PP2 4.0 7.0 1.0 1.0 1.0 0.0 6.0 59.0 112.0 96.0 80001698.0
8731 6235.0 41470 l1 PP1 0.0 2.0 1.0 1.0 1.0 0.0 6.0 47.0 72.0 53.0 80001717.0
8753 6235.0 41470 l1 PP1 2.0 12.0 1.0 1.0 1.0 0.0 21.0 83.0 109.0 77.0 80007513.0
8800 6235.0 41470 l1 PP0 7.0 3.0 1.0 1.0 1.0 0.0 28.0 67.0 68.0 38.0 80001792.0
8839 6235.0 41454 l1 PP2 1.0 10.0 1.0 1.0 1.0 0.0 28.0 102.0 145.0 114.0 80003821.0
8843 6235.0 41454 l1 PP2 1.0 14.0 1.0 1.0 1.0 0.0 44.0 69.0 73.0 56.0 80003831.0
8893 6235.0 41454 l1 PP2 4.0 2.0 1.0 1.0 1.0 0.0 20.0 85.0 115.0 82.0 80001411.0
8903 6235.0 41454 l1 PP2 5.0 2.0 1.0 1.0 1.0 0.0 18.0 75.0 99.0 67.0 80001411.0
10974 6235.0 41454 l1 PP3 0.0 5.0 1.0 1.0 1.0 0.0 59.0 142.0 143.0 81.0 80006361.0
11018 6235.0 41454 l1 PP1 7.0 2.0 1.0 1.0 1.0 0.0 11.0 82.0 141.0 117.0 80003426.0
