 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
66 6235.0 41446 l1 PP2 1.0 25.0 1.0 1.0 1.0 0.0 57.0 136.0 138.0 79.0 80003750.0
120 6235.0 41446 l1 PP2 4.0 9.0 1.0 1.0 1.0 0.0 77.0 179.0 184.0 102.0 80005810.0
198 6235.0 41446 l1 PP3 3.0 2.0 1.0 1.0 1.0 0.0 9.0 54.0 85.0 66.0 80002815.0
209 6235.0 41446 l1 PP1 0.0 3.0 1.0 1.0 1.0 0.0 4.0 69.0 153.0 148.0 80000600.0
220 6235.0 41446 l1 PP1 1.0 4.0 1.0 1.0 1.0 0.0 3.0 39.0 83.0 77.0 80000600.0
322 6235.0 41446 l1 PP1 5.0 17.0 1.0 1.0 1.0 0.0 59.0 200.0 242.0 157.0 80004637.0
327 6235.0 41446 l1 PP1 5.0 22.0 1.0 1.0 1.0 0.0 4.0 48.0 108.0 105.0 80006150.0
360 6235.0 41446 l1 PP1 6.0 23.0 1.0 1.0 1.0 0.0 29.0 84.0 94.0 58.0 80003515.0
403 6235.0 41446 l1 PP1 7.0 25.0 1.0 1.0 1.0 0.0 25.0 78.0 91.0 60.0 80005596.0
435 6235.0 41446 l1 PP0 6.0 11.0 1.0 1.0 1.0 0.0 14.0 69.0 100.0 73.0 80006279.0
447 6235.0 41446 l1 PP0 7.0 10.0 1.0 1.0 1.0 0.0 25.0 126.0 186.0 140.0 80006279.0
459 6235.0 41463 l1 PP2 0.0 10.0 1.0 1.0 1.0 0.0 18.0 72.0 96.0 66.0 80003779.0
497 6235.0 41463 l1 PP2 1.0 20.0 1.0 1.0 1.0 0.0 56.0 168.0 188.0 117.0 80003961.0
504 6235.0 41463 l1 PP2 2.0 2.0 1.0 1.0 1.0 0.0 3.0 52.0 122.0 121.0 80000739.0
517 6235.0 41463 l1 PP2 3.0 2.0 1.0 1.0 1.0 0.0 33.0 117.0 145.0 98.0 80000075.0
676 6235.0 41463 l1 PP1 6.0 23.0 1.0 1.0 1.0 0.0 34.0 125.0 155.0 103.0 80005134.0
804 6235.0 41477 l1 PP2 5.0 8.0 1.0 1.0 1.0 0.0 11.0 56.0 84.0 66.0 80004681.0
918 6235.0 41470 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 3.0 49.0 105.0 99.0 80001044.0
938 6235.0 41470 l1 PP2 0.0 21.0 1.0 1.0 1.0 0.0 25.0 79.0 93.0 59.0 80005414.0
943 6235.0 41470 l1 PP2 0.0 26.0 1.0 1.0 1.0 0.0 8.0 68.0 137.0 126.0 80007322.0
957 6235.0 41470 l1 PP2 1.0 12.0 1.0 1.0 1.0 0.0 6.0 40.0 68.0 55.0 80004008.0
978 6235.0 41470 l1 PP2 3.0 4.0 1.0 1.0 1.0 0.0 20.0 81.0 102.0 68.0 80003366.0
982 6235.0 41470 l1 PP2 3.0 8.0 1.0 1.0 1.0 0.0 12.0 58.0 85.0 63.0 80003670.0
986 6235.0 41470 l1 PP2 3.0 12.0 1.0 1.0 1.0 0.0 49.0 169.0 204.0 133.0 80005238.0
1140 6235.0 41470 l1 PP0 4.0 4.0 1.0 1.0 1.0 0.0 11.0 76.0 122.0 98.0 80007516.0
1144 6235.0 41470 l1 PP0 5.0 2.0 1.0 1.0 1.0 0.0 30.0 122.0 158.0 107.0 80005370.0
1173 6235.0 41454 l1 PP2 0.0 13.0 1.0 1.0 1.0 0.0 66.0 185.0 198.0 116.0 80003062.0
1216 6235.0 41454 l1 PP2 1.0 14.0 1.0 1.0 1.0 0.0 3.0 33.0 72.0 70.0 80004049.0
1256 6235.0 41454 l1 PP2 2.0 25.0 1.0 1.0 1.0 0.0 7.0 39.0 66.0 54.0 80006186.0
1269 6235.0 41454 l1 PP2 3.0 5.0 1.0 1.0 1.0 0.0 20.0 74.0 93.0 63.0 80002219.0
1273 6235.0 41454 l1 PP2 3.0 9.0 1.0 1.0 1.0 0.0 22.0 72.0 86.0 57.0 80002289.0
1340 6235.0 41454 l1 PP3 0.0 2.0 1.0 1.0 1.0 0.0 15.0 56.0 71.0 48.0 80004596.0
1346 6235.0 41454 l1 PP3 1.0 2.0 1.0 1.0 1.0 0.0 48.0 183.0 232.0 159.0 80004596.0
1439 6235.0 41454 l1 PP1 5.0 4.0 1.0 1.0 1.0 0.0 19.0 115.0 182.0 144.0 80000355.0
1455 6235.0 41454 l1 PP1 5.0 20.0 1.0 1.0 1.0 0.0 68.0 199.0 222.0 138.0 80005115.0
1481 6235.0 41454 l1 PP1 6.0 20.0 1.0 1.0 1.0 0.0 34.0 118.0 145.0 97.0 80004066.0
