 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
0 6235.0 41446 l1 PP2 0.0 0.0 1.0 1.0 0.0 0.0 0.0 1.0 7.0 9.0 80000273.0
1 6235.0 41446 l1 PP2 0.0 1.0 1.0 1.0 1.0 0.0 2.0 8.0 10.0 7.0 80000274.0
2 6235.0 41446 l1 PP2 0.0 2.0 1.0 1.0 0.0 0.0 0.0 0.0 7.0 34.0 80001953.0
3 6235.0 41446 l1 PP2 0.0 3.0 1.0 1.0 0.0 0.0 1.0 9.0 36.0 47.0 80001954.0
4 6235.0 41446 l1 PP2 0.0 4.0 1.0 1.0 1.0 0.0 8.0 35.0 46.0 31.0 80001955.0
5 6235.0 41446 l1 PP2 0.0 5.0 1.0 1.0 0.0 0.0 27.0 38.0 23.0 4.0 80001956.0
6 6235.0 41446 l1 PP2 0.0 6.0 1.0 1.0 1.0 0.0 0.0 3.0 9.0 8.0 80002789.0
7 6235.0 41446 l1 PP2 0.0 7.0 1.0 1.0 0.0 0.0 3.0 9.0 8.0 3.0 80002790.0
8 6235.0 41446 l1 PP2 0.0 8.0 1.0 1.0 0.0 0.0 0.0 1.0 6.0 15.0 80003063.0
9 6235.0 41446 l1 PP2 0.0 9.0 1.0 1.0 0.0 0.0 1.0 6.0 15.0 16.0 80003064.0
10 6235.0 41446 l1 PP2 0.0 10.0 1.0 1.0 1.0 0.0 5.0 14.0 15.0 10.0 80003065.0
11 6235.0 41446 l1 PP2 0.0 11.0 1.0 1.0 0.0 0.0 0.0 3.0 9.0 10.0 80003506.0
12 6235.0 41446 l1 PP2 0.0 12.0 1.0 1.0 1.0 0.0 3.0 9.0 10.0 5.0 80003507.0
13 6235.0 41446 l1 PP2 0.0 13.0 1.0 1.0 0.0 0.0 0.0 4.0 35.0 64.0 80003528.0
14 6235.0 41446 l1 PP2 0.0 14.0 1.0 1.0 1.0 0.0 4.0 35.0 64.0 55.0 80003529.0
15 6235.0 41446 l1 PP2 0.0 15.0 1.0 1.0 0.0 0.0 31.0 60.0 51.0 23.0 80003530.0
16 6235.0 41446 l1 PP2 0.0 16.0 1.0 1.0 0.0 0.0 0.0 0.0 22.0 70.0 80005142.0
17 6235.0 41446 l1 PP2 0.0 17.0 1.0 1.0 0.0 0.0 0.0 22.0 70.0 81.0 80005143.0
18 6235.0 41446 l1 PP2 0.0 18.0 1.0 1.0 1.0 0.0 22.0 70.0 81.0 52.0 80005144.0
19 6235.0 41446 l1 PP2 0.0 19.0 1.0 1.0 0.0 0.0 48.0 59.0 30.0 0.0 80005145.0
20 6235.0 41446 l1 PP2 0.0 20.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 5.0 80005207.0
21 6235.0 41446 l1 PP2 0.0 21.0 1.0 1.0 1.0 0.0 1.0 3.0 6.0 4.0 80006431.0
22 6235.0 41446 l1 PP2 1.0 0.0 1.0 1.0 0.0 0.0 0.0 3.0 11.0 22.0 80000487.0
23 6235.0 41446 l1 PP2 1.0 1.0 1.0 1.0 1.0 0.0 3.0 11.0 22.0 19.0 80000488.0
24 6235.0 41446 l1 PP2 1.0 2.0 1.0 1.0 0.0 0.0 8.0 19.0 16.0 6.0 80000489.0
25 6235.0 41446 l1 PP2 1.0 3.0 1.0 1.0 1.0 0.0 0.0 3.0 6.0 4.0 80002789.0
26 6235.0 41446 l1 PP2 1.0 4.0 1.0 1.0 0.0 0.0 0.0 2.0 13.0 29.0 80003063.0
