 run burst level fpga channel peak over_thr peak_space peak_time a b c d e timestamp
496 6235.0 41446 l1 PP2 1.0 219.0 1.0 1.0 0.0 0.0 32.0 1.0 33.0 1.0 80003455.0
8616 6235.0 41463 l1 PP2 1.0 52.0 1.0 1.0 0.0 0.0 2.0 1.0 32.0 0.0 80001091.0
8646 6235.0 41463 l1 PP2 1.0 82.0 1.0 1.0 0.0 0.0 7.0 4.0 28.0 0.0 80001652.0
8737 6235.0 41463 l1 PP2 1.0 173.0 1.0 1.0 0.0 0.0 1.0 0.0 32.0 1.0 80003808.0
8867 6235.0 41463 l1 PP2 1.0 303.0 1.0 1.0 0.0 0.0 4.0 3.0 31.0 0.0 80007043.0
14487 6235.0 41477 l1 PP2 1.0 197.0 1.0 1.0 0.0 0.0 33.0 1.0 34.0 2.0 80005224.0
14504 6235.0 41477 l1 PP2 1.0 214.0 1.0 1.0 0.0 0.0 33.0 3.0 37.0 4.0 80005630.0
14593 6235.0 41477 l1 PP2 1.0 303.0 1.0 1.0 0.0 0.0 5.0 0.0 30.0 27.0 80007055.0
14613 6235.0 41477 l1 PP2 1.0 323.0 1.0 1.0 0.0 0.0 32.0 1.0 33.0 1.0 80007293.0
14614 6235.0 41477 l1 PP2 1.0 324.0 1.0 1.0 0.0 0.0 1.0 0.0 31.0 0.0 80007643.0
14618 6235.0 41477 l1 PP2 1.0 328.0 1.0 1.0 0.0 0.0 31.0 0.0 32.0 0.0 80007681.0
20693 6235.0 41470 l1 PP2 1.0 9.0 1.0 1.0 0.0 0.0 4.0 0.0 15.0 0.0 80000220.0
20752 6235.0 41470 l1 PP2 1.0 68.0 1.0 1.0 0.0 0.0 32.0 0.0 33.0 1.0 80001624.0
20816 6235.0 41470 l1 PP2 1.0 132.0 1.0 1.0 0.0 0.0 35.0 9.0 45.0 11.0 80002520.0
21036 6235.0 41470 l1 PP2 1.0 352.0 1.0 1.0 0.0 0.0 32.0 1.0 33.0 1.0 80007167.0
21065 6235.0 41470 l1 PP2 1.0 381.0 1.0 1.0 0.0 0.0 35.0 8.0 44.0 43.0 80007824.0
27303 6235.0 41454 l1 PP2 1.0 53.0 1.0 1.0 0.0 0.0 31.0 0.0 32.0 0.0 80001209.0
27306 6235.0 41454 l1 PP2 1.0 56.0 1.0 1.0 0.0 0.0 31.0 0.0 32.0 0.0 80001217.0
27393 6235.0 41454 l1 PP2 1.0 143.0 1.0 1.0 0.0 0.0 31.0 0.0 32.0 0.0 80002894.0
27436 6235.0 41454 l1 PP2 1.0 186.0 1.0 1.0 0.0 0.0 1.0 0.0 33.0 1.0 80004054.0
27511 6235.0 41454 l1 PP2 1.0 261.0 1.0 1.0 0.0 0.0 14.0 3.0 15.0 0.0 80005250.0
27599 6235.0 41454 l1 PP2 1.0 349.0 1.0 1.0 0.0 0.0 32.0 0.0 33.0 3.0 80006396.0
27648 6235.0 41454 l1 PP2 1.0 398.0 1.0 1.0 0.0 0.0 33.0 4.0 42.0 10.0 80007205.0
